gsn,drugname,strength,dosetype, cost 
049086,"NEEDLES, DISPOSABLE","21GX2""",DIS NEEDLE, $0.14 
049088,"NEEDLES, DISPOSABLE","22GX3/4""",DIS NEEDLE, $0.10 
049089,"NEEDLES, DISPOSABLE","22GX1""",DIS NEEDLE, $0.02 
049091,"NEEDLES, DISPOSABLE","22GX1 1/2""",DIS NEEDLE, $0.06 
049093,"NEEDLES, DISPOSABLE","23GX3/4""",DIS NEEDLE, $0.06 
049094,"NEEDLES, DISPOSABLE","23GX1""",DIS NEEDLE, $0.02 
049095,"NEEDLES, DISPOSABLE","23GX1.25""",DIS NEEDLE, $0.03 
049096,"NEEDLES, DISPOSABLE","23GX1 1/2""",DIS NEEDLE, $0.02 
049098,"NEEDLES, DISPOSABLE","25GX5/8""",DIS NEEDLE, $0.02 
049101,"NEEDLES, DISPOSABLE","25GX1""",DIS NEEDLE, $0.02 
049103,"NEEDLES, DISPOSABLE","25GX1 1/2""",DIS NEEDLE, $0.02 
049105,"NEEDLES, DISPOSABLE","26GX3/8""",DIS NEEDLE, $0.09 
049106,"NEEDLES, DISPOSABLE","26GX1/2""",DIS NEEDLE, $0.06 
049107,"NEEDLES, DISPOSABLE","26 G X5/8""",DIS NEEDLE, $0.03 
049108,"NEEDLES, DISPOSABLE","26GX1.5""",DIS NEEDLE, $0.10 
049109,"NEEDLES, DISPOSABLE","27GX1/2""",DIS NEEDLE, $0.05 
049111,"NEEDLES, DISPOSABLE","27GX1.25""",DIS NEEDLE, $0.03 
049112,"NEEDLES, DISPOSABLE","27GX1.5""",DIS NEEDLE, $0.05 
049113,"NEEDLES, DISPOSABLE","30GX1/2""",DIS NEEDLE, $0.05 
049114,"NEEDLES, DISPOSABLE","30GX3/4""",DIS NEEDLE, $0.07 
049115,"NEEDLES, DISPOSABLE","30GX1""",DIS NEEDLE, $0.36 
049132,"NEEDLES, BLOOD COLLECTION","20GX1""",DIS NEEDLE, $0.07 
049134,"NEEDLES, BLOOD COLLECTION","21 G X 1""",DIS NEEDLE, $0.07 
049136,"NEEDLES, BLOOD COLLECTION","22GX1""",DIS NEEDLE, $0.07 
049213,"NEEDLES, FILTER","18GX1 1/2""",DIS NEEDLE, $0.32 
049235,"PEN NEEDLE, DIABETIC","29 G X1/2""",DIS NEEDLE, $0.06 
049237,"PEN NEEDLE, DIABETIC","30 GX5/16""",DIS NEEDLE, $0.07 
049240,"PEN NEEDLE, DIABETIC","31 GX5/16""",DIS NEEDLE, $0.05 
049255,"MULTIVIT WITH IRON,MINERALS",0.8 MG,COMBO. PKG, $0.08 
049257,"BIOFLAV/MULTIVIT,IRON,MINERALS",0.8 MG,COMBO. PKG, $0.08 
049261,"SYRINGE, DISPOSABLE, 1 ML",,DISP SYRIN, $0.16 
049264,"SYRINGE, DISPOSABLE, 3 ML",,DISP SYRIN, $0.06 
049265,"SYRINGE, DISPOSABLE, 5 ML",,DISP SYRIN, $0.11 
049266,"SYRINGE, DISPOSABLE, 6 ML",,DISP SYRIN, $0.11 
049268,"SYRINGE, DISPOSABLE, 10 ML",,DISP SYRIN, $0.10 
049269,"SYRINGE, DISPOSABLE, 12 ML",,DISP SYRIN, $0.12 
049270,"SYRINGE, DISPOSABLE, 20 ML",,DISP SYRIN, $0.54 
049271,"SYRINGE, DISPOSABLE, 30 ML",,DISP SYRIN, $0.57 
049272,"SYRINGE, DISPOSABLE, 35 ML",,DISP SYRIN, $0.33 
049273,"SYRINGE, DISPOSABLE, 50 ML",,DISP SYRIN, $0.62 
049274,"SYRINGE, DISPOSABLE, 60 ML",,DISP SYRIN, $0.56 
049275,"SYRINGE AND NEEDLE,INSULIN,1ML","28GX1/2""",DISP SYRIN, $0.15 
049276,"SYRINGE-NEEDLE,INSULIN,0.5 ML","28GX1/2""",DISP SYRIN, $0.08 
049277,"SYRING-NEEDL,DISP,INSUL,0.3 ML","29 G X1/2""",DISP SYRIN, $0.19 
049281,"SYRINGE WITH NEEDLE, 12 ML","18GX1""",DISP SYRIN, $3.40 
049284,"SYRINGE W-NEEDLE,DISPOSAB,3 ML","20GX1""",DISP SYRIN, $0.09 
049285,"SYRINGE WITH NEEDLE, 5 ML","20GX1""",DISP SYRIN, $0.29 
049287,"SYRINGE W-NEEDLE,DISPOSAB,3 ML","20GX1 1/2""",DISP SYRIN, $0.14 
049288,"SYRINGE WITH NEEDLE, 5 ML","20GX1 1/2""",DISP SYRIN, $0.21 
049289,"SYRINGE WITH NEEDLE, 6 ML","20GX1 1/2""",DISP SYRIN, $0.18 
049292,"SYRINGE W-NEEDLE,DISPOSAB,3 ML","21 G X 1""",DISP SYRIN, $0.08 
049293,"SYRINGE WITH NEEDLE, 5 ML","21 G X 1""",DISP SYRIN, $0.34 
049298,"SYRINGE WITH NEEDLE, 6 ML","21 G X 1""",DISP SYRIN, $0.18 
049303,"SYRINGE W-NEEDLE,DISPOSAB,3 ML","21GX1 1/2""",DISP SYRIN, $0.08 
049304,"SYRINGE WITH NEEDLE, 5 ML","21GX1 1/2""",DISP SYRIN, $0.25 
049305,"SYRINGE WITH NEEDLE, 6 ML","21GX1 1/2""",DISP SYRIN, $0.18 
049312,"SYRINGE W-NEEDLE,DISPOSAB,3 ML","22GX3/4""",DISP SYRIN, $0.12 
049314,"SYRINGE W-NEEDLE,DISPOSAB,3 ML","22GX1""",DISP SYRIN, $0.08 
049315,"SYRINGE WITH NEEDLE, 5 ML","22GX1""",DISP SYRIN, $0.25 
049320,"SYRINGE W-NEEDLE,DISPOSAB,3 ML","22GX1 1/2""",DISP SYRIN, $0.08 
049321,"SYRINGE WITH NEEDLE, 5 ML","22GX1 1/2""",DISP SYRIN, $0.25 
049326,"SYRINGE W-NEEDLE,DISPOSAB,3 ML","23GX1""",DISP SYRIN, $0.07 
049331,"SYRINGE W-NEEDLE,DISPOSAB,3 ML","23GX1 1/2""",DISP SYRIN, $0.06 
049335,"SYRINGE WITH NEEDLE, 1 ML","25GX5/8""",DISP SYRIN, $0.06 
049336,"SYRINGE W-NEEDLE,DISPOSAB,3 ML","25GX5/8""",DISP SYRIN, $0.06 
049337,"SYRINGE WITH NEEDLE, 1 ML","25GX1""",DISP SYRIN, $0.22 
049338,"SYRINGE W-NEEDLE,DISPOSAB,3 ML","25GX1""",DISP SYRIN, $0.07 
049340,"SYRINGE W-NEEDLE,DISPOSAB,3 ML","25GX1 1/2""",DISP SYRIN, $0.21 
049341,"SYRINGE WITH NEEDLE, 1 ML","26GX3/8""",DISP SYRIN, $0.12 
049347,"SYRINGE WITH NEEDLE, 1 ML","27GX0.375""",DISP SYRIN, $0.11 
049349,"SYRINGE WITH NEEDLE, 1 ML","27GX1/2""",DISP SYRIN, $0.20 
049352,"SYRINGE W-NEEDLE,DISPOSAB,3 ML","27GX1.25""",DISP SYRIN, $0.08 
049354,"SYRINGE WITH NEEDLE, 1 ML","28GX1/2""",DISP SYRIN, $0.13 
049356,"SYRINGE AND NEEDLE,INSULIN,1ML",,DISP SYRIN, $0.12 
049358,"SYRINGE AND NEEDLE,INSULIN,1ML","30 GX5/16""",DISP SYRIN, $0.15 
049363,"SYRINGE AND NEEDLE,INSULIN,1ML","27GX1/2""",DISP SYRIN, $0.09 
049365,"SYRINGE AND NEEDLE,INSULIN,1ML","27GX5/8""",DISP SYRIN, $0.26 
049370,"SYRINGE-NEEDLE,INSULIN,0.5 ML",28 GAUGE,DISP SYRIN, $0.15 
049372,"SYRINGE-NEEDLE,INSULIN,0.5 ML","27GX1/2""",DISP SYRIN, $0.09 
049379,"SYRINGE-NEEDLE,INSULIN,0.5 ML",29 GAUGE,DISP SYRIN, $0.15 
049380,"SYRINGE AND NEEDLE,INSULIN,1ML",29 GAUGE,DISP SYRIN, $0.15 
049383,"SYRINGE-NEEDLE,INSULIN,0.5 ML","29 G X1/2""",DISP SYRIN, $0.15 
049384,"SYRINGE AND NEEDLE,INSULIN,1ML","29 G X1/2""",DISP SYRIN, $0.07 
049391,"SYRINGE AND NEEDLE,INSULIN,1ML",30 GAUGE,DISP SYRIN, $0.15 
049394,"SYRING-NEEDL,DISP,INSUL,0.3 ML","30 GX5/16""",DISP SYRIN, $0.18 
049395,"SYRINGE-NEEDLE,INSULIN,0.5 ML","30 GX5/16""",DISP SYRIN, $0.08 
049399,"SYRING-NEEDL,DISP,INSUL,0.3 ML","30GX1/2""",DISP SYRIN, $0.21 
049400,"SYRINGE-NEEDLE,INSULIN,0.5 ML","30GX1/2""",DISP SYRIN, $0.18 
049401,"SYRINGE AND NEEDLE,INSULIN,1ML","30GX1/2""",DISP SYRIN, $0.09 
049403,"SYRING-NEEDL,DISP,INSUL,0.3 ML","31 GX5/16""",DISP SYRIN, $0.15 
049404,"SYRINGE-NEEDLE,INSULIN,0.5 ML","31 GX5/16""",DISP SYRIN, $0.15 
049405,"SYRINGE AND NEEDLE,INSULIN,1ML","31 GX5/16""",DISP SYRIN, $0.15 
049426,"SYRINGE,SAFETY WITH NEEDLE,3ML","21GX1 1/2""",DISP SYRIN, $0.20 
049427,"SYRINGE,SAFETY WITH NEEDLE,5ML","21GX1 1/2""",DISP SYRIN, $0.20 
049428,"SYRINGE,SAFETY NEEDLE,10 ML","21GX1 1/2""",DISP SYRIN, $0.20 
049430,"SYRINGE,SAFETY WITH NEEDLE,3ML","22GX1""",DISP SYRIN, $0.20 
049431,"SYRINGE,SAFETY WITH NEEDLE,3ML","22GX1 1/2""",DISP SYRIN, $0.18 
049432,"SYRINGE,SAFETY WITH NEEDLE,3ML","23GX1""",DISP SYRIN, $0.20 
049433,"SYRINGE,SAFETY WITH NEEDLE,1ML","25GX5/8""",DISP SYRIN, $0.20 
049434,"SYRINGE,SAFETY WITH NEEDLE,3ML","25GX5/8""",DISP SYRIN, $0.20 
049435,"SYRINGE,SAFETY WITH NEEDLE,1ML","27GX1/2""",DISP SYRIN, $0.20 
049436,"SYRINGE,SAFETY WITH NEEDLE,1ML","28GX1/2""",DISP SYRIN, $0.20 
049444,PHENYTOIN SODIUM EXTENDED,300 MG,CAPSULE, $2.50 
049445,PHENYTOIN SODIUM EXTENDED,200 MG,CAPSULE, $1.95 
049565,MENTHOL,2.5 %,GEL (GRAM), $0.10 
049605,ELETRIPTAN HYDROBROMIDE,20 MG,TABLET, $5.57 
049606,ELETRIPTAN HYDROBROMIDE,40 MG,TABLET, $3.97 
049669,"VITAMIN E (DL,TOCOPHERYL ACET)",90 MG,CAPSULE, $0.02 
049724,PIMECROLIMUS,1 %,CREAM (G), $4.53 
049742,MOXIFLOXACIN-SOD.CHLORIDE(ISO),400MG/.25L,PIGGYBACK, $0.14 
049758,PRAVASTATIN SODIUM,80 MG,TABLET, $0.17 
049793,"B12/E,B6-FA(<1MG)/MN/DIETARY 1",,TABLET, $0.08 
049808,FONDAPARINUX SODIUM,2.5 MG/0.5,SYRINGE, $24.44 
049828,NORELGESTROMIN/ETHIN.ESTRADIOL,150-35/24H,PATCH TDWK, $42.30 
049835,ERTAPENEM SODIUM,1 G,VIAL, $45.08 
049849,EFAVIRENZ,600 MG,TABLET, $4.99 
049858,NORETHINDRONE AC-ETH ESTRADIOL,0.5MG-2.5,TABLET, $2.31 
049871,LEVALBUTEROL HCL,0.31MG/3ML,VIAL-NEB, $0.45 
049917,AAS/FOLIC ACID/MV-MN/DIETARY 2,0.5 MG,CAPSULE, $0.08 
049962,AAS/FOLIC ACID/MV-MN/DIETARY 3,0.5 MG,CAPSULE, $0.08 
050001,BROMPHENIRAM/PHENYLEPHRINE/DM,2-5-10MG/5,LIQUID, $0.05 
050036,"AMINO AC/ACEMANNAN/MV,IRON,MIN",,TABLET, $0.08 
050100,SODIUM HYPOCHLORITE,0.25 %,SOLUTION, $0.04 
050101,SODIUM HYPOCHLORITE,0.5 %,SOLUTION, $0.04 
050102,ZIPRASIDONE MESYLATE,FNL 20MG/1,VIAL, $19.86 
050136,PAROXETINE HCL,25 MG,TAB ER 24H, $1.01 
050137,PAROXETINE HCL,12.5 MG,TAB ER 24H, $0.88 
050138,PAROXETINE HCL,37.5 MG,TAB ER 24H, $1.12 
050172,METHYLPHENIDATE HCL,27 MG,TAB ER 24, $0.50 
050210,GLATIRAMER ACETATE,20 MG/ML,SYRINGE, $66.62 
050239,LIDOCAINE HCL/EPINEPHRINE BIT,2 %-1:100K,CARTRIDGE, $0.23 
050256,VALSARTAN/HYDROCHLOROTHIAZIDE,160MG-25MG,TABLET, $0.38 
050288,OLMESARTAN MEDOXOMIL,5 MG,TABLET, $0.09 
050289,OLMESARTAN MEDOXOMIL,20 MG,TABLET, $0.08 
050290,OLMESARTAN MEDOXOMIL,40 MG,TABLET, $0.11 
050307,FULVESTRANT,250 MG/5ML,SYRINGE, $12.32 
050327,BLOOD-GLUCOSE CALIB. CONTROL,,COMBO. PKG, $4.55 
050364,RISEDRONATE SODIUM,35 MG,TABLET, $5.23 
050386,OLANZAPINE,10 MG,VIAL, $15.94 
050399,ALPRAZOLAM,0.5 MG,TAB ER 24H, $0.39 
050400,ALPRAZOLAM,1 MG,TAB ER 24H, $0.44 
050401,ALPRAZOLAM,2 MG,TAB ER 24H, $0.47 
050408,TREPROSTINIL SODIUM,1 MG/ML,VIAL, $62.68 
050409,TREPROSTINIL SODIUM,2.5 MG/ML,VIAL, $156.70 
050410,TREPROSTINIL SODIUM,5 MG/ML,VIAL, $304.09 
050411,TREPROSTINIL SODIUM,10 MG/ML,VIAL, $626.81 
050417,TRETINOIN MICROSPHERES,0.04 %,GEL (GRAM), $7.23 
050442,VORICONAZOLE,50 MG,TABLET, $1.69 
050443,VORICONAZOLE,200 MG,TABLET, $2.91 
050444,VORICONAZOLE,200 MG,VIAL, $17.85 
050464,ETONOGESTREL/ETHINYL ESTRADIOL,.12-.015MG,VAG RING, $100.39 
050491,MIDODRINE HCL,10 MG,TABLET, $0.60 
050496,BUPROPION HCL,200 MG,TAB SR 12H, $0.19 
050519,AMLODIPINE BESYLATE/BENAZEPRIL,10 MG-20MG,CAPSULE, $0.25 
050582,CALCIUM CARBONATE/VITAMIN D3,600MG-5MCG,CAPSULE, $0.09 
050606,NAPROXEN SODIUM/PSEUDOEPHEDRIN,220-120MG,TAB ER 12H, $0.53 
050622,"PEN NEEDLE, DIABETIC","31 G X1/4""",DIS NEEDLE, $0.12 
050628,URSODIOL,500 MG,TABLET, $1.18 
050631,METOPROLOL TARTRATE,25 MG,TABLET, $0.02 
050676,AMIODARONE HCL,50 MG/ML,VIAL, $0.43 
050712,ESCITALOPRAM OXALATE,10 MG,TABLET, $0.05 
050714,TIOTROPIUM BROMIDE,18 MCG,CAP W/DEV, $10.60 
050760,ESCITALOPRAM OXALATE,20 MG,TABLET, $0.08 
050805,VALSARTAN,40 MG,TABLET, $0.21 
050831,NORGESTIMATE-ETHINYL ESTRADIOL,7DAYSX3 LO,TABLET, $0.39 
050832,CELECOXIB,400 MG,CAPSULE, $0.75 
050890,CALC/MAG/B COMPLEX/D3/HERB 61,,TABLET, $0.08 
050900,"MV,IRON,MINS/DIET.SUP4/DNA/RNA",,CAPSULE, $0.08 
050909,MULTIVIT-MINERALS/FOLIC ACID,1 MG,TABLET, $0.08 
050919,"BCOMP,C/ST.JHN WRT/S.GINSG/PGN",150-75-125,TABLET, $0.08 
050937,ADEFOVIR DIPIVOXIL,10 MG,TABLET, $19.89 
050953,OXANDROLONE,10 MG,TABLET, $13.10 
050991,AMOXICILLIN/POTASSIUM CLAV,1000-62.5,TAB ER 12H, $4.42 
051037,EPLERENONE,50 MG,TABLET, $1.03 
051083,MAGNESIUM OXIDE,400 MG,CAPSULE, $0.17 
051112,METAXALONE,800 MG,TABLET, $0.76 
051142,CALCIUM CARBONATE/VITAMIN D3,500 MG-10,TABLET, $0.06 
051165,BROMPHENIRAM/PHENYLEPHRINE/DM,4-10-20/5,LIQUID, $0.03 
051194,GLIPIZIDE/METFORMIN HCL,2.5-250 MG,TABLET, $0.49 
051195,GLIPIZIDE/METFORMIN HCL,2.5-500 MG,TABLET, $0.53 
051196,GLIPIZIDE/METFORMIN HCL,5 MG-500MG,TABLET, $0.50 
051214,EZETIMIBE,10 MG,TABLET, $0.05 
051246,DUTASTERIDE,0.5 MG,CAPSULE, $0.10 
051271,"NIACIN/VIT B2/VITS A,C,E/MIN",6000 UNIT,CAPSULE, $0.08 
051272,"VITS A,C,E/LUTEIN/ZINC/COPPER",7160 UNIT,CAPSULE, $0.08 
051292,INSULIN NPH HUMAN ISOPHANE,100/ML (3),INSULN PEN, $30.60 
051334,ARIPIPRAZOLE,15 MG,TABLET, $0.07 
051469,DIVALPROEX SODIUM,250 MG,TAB ER 24H, $0.27 
051489,ATOMOXETINE HCL,10 MG,CAPSULE, $0.89 
051491,ATOMOXETINE HCL,25 MG,CAPSULE, $0.75 
051492,ATOMOXETINE HCL,40 MG,CAPSULE, $0.82 
051493,ATOMOXETINE HCL,60 MG,CAPSULE, $0.82 
051512,MONTELUKAST SODIUM,4 MG,GRAN PACK, $1.61 
051582,VIT E/VIT B12/FOLIC AC/VIT B6,0.5-0.8-25,TABLET, $0.08 
051583,GUAIFENESIN,400 MG,TABLET, $0.04 
051610,METHOTREXATE SODIUM/PF,25 MG/ML,VIAL, $1.04 
051623,BENZETHONIUM CHLORIDE,0.1 %,CLEANSER, $0.02 
051639,ZOLMITRIPTAN,5 MG,SPRAY, $88.68 
051640,BUPRENORPHINE HCL/NALOXONE HCL,2 MG-0.5MG,TAB SUBL, $2.02 
051641,BUPRENORPHINE HCL/NALOXONE HCL,8 MG-2 MG,TAB SUBL, $0.85 
051642,ESCITALOPRAM OXALATE,5 MG,TABLET, $0.03 
051653,LANSOPRAZOLE,15 MG,TAB RAP DR, $5.51 
051654,LANSOPRAZOLE,30 MG,TAB RAP DR, $5.23 
051656,TADALAFIL,10 MG,TABLET, $0.64 
051657,TADALAFIL,20 MG,TABLET, $0.34 
051698,ESCITALOPRAM OXALATE,5 MG/5 ML,SOLUTION, $0.40 
051756,DOXYCYCLINE MONOHYDRATE,75 MG,TABLET, $1.14 
051784,ROSUVASTATIN CALCIUM,10 MG,TABLET, $0.07 
051785,ROSUVASTATIN CALCIUM,20 MG,TABLET, $0.07 
051786,ROSUVASTATIN CALCIUM,40 MG,TABLET, $0.11 
051793,AZATHIOPRINE,75 MG,TABLET, $17.22 
051794,AZATHIOPRINE,100 MG,TABLET, $6.99 
051799,RISPERIDONE,1 MG,TAB RAPDIS, $0.87 
051800,RISPERIDONE,2 MG,TAB RAPDIS, $4.00 
051802,DILTIAZEM HCL,180 MG,TAB ER 24H, $1.25 
051803,DILTIAZEM HCL,240 MG,TAB ER 24H, $2.13 
051804,DILTIAZEM HCL,300 MG,TAB ER 24H, $2.51 
051805,DILTIAZEM HCL,360 MG,TAB ER 24H, $2.53 
051806,DILTIAZEM HCL,420 MG,TAB ER 24H, $2.84 
051812,AZELAIC ACID,15 %,GEL (GRAM), $1.25 
051820,CYCLOSPORINE,0.05 %,DROPERETTE, $3.52 
051825,CICLOPIROX,1 %,SHAMPOO, $0.49 
051878,SIROLIMUS,2 MG,TABLET, $9.58 
051882,VARDENAFIL HCL,5 MG,TABLET, $18.81 
051883,VARDENAFIL HCL,10 MG,TABLET, $19.29 
051884,VARDENAFIL HCL,20 MG,TABLET, $19.44 
051896,CHLORPHENIRAMINE/PHENYLEPH/DM,4-10-15/5,LIQUID, $0.10 
051911,APREPITANT,80 MG,CAPSULE, $114.91 
051912,APREPITANT,125 MG,CAPSULE, $163.17 
051913,APREPITANT,125MG-80MG,CAP DS PK, $117.75 
051970,MIGLUSTAT,100 MG,CAPSULE, $277.35 
051971,DICLOFENAC SODIUM,1.5 %,DROPS, $0.27 
051983,CLONAZEPAM,0.125 MG,TAB RAPDIS, $1.13 
051984,CLONAZEPAM,0.25 MG,TAB RAPDIS, $0.98 
051985,CLONAZEPAM,0.5 MG,TAB RAPDIS, $0.97 
051986,CLONAZEPAM,1 MG,TAB RAPDIS, $1.18 
051987,CLONAZEPAM,2 MG,TAB RAPDIS, $1.59 
051991,ZOLEDRONIC ACID,4 MG/5 ML,VIAL, $4.22 
052014,"ESMOLOL IN SODIUM CHLORIDE,ISO",2000MG/100,IV SOLN, $2.29 
052049,RISPERIDONE,0.5 MG,TAB RAPDIS, $0.69 
052050,MOXIFLOXACIN HCL,0.5 %,DROPS, $4.89 
052057,MINOCYCLINE HCL,75 MG,TABLET, $1.77 
052060,"VITS A,C,E/LUTEIN/ZEAXANTH/MIN",,TABLET ER, $0.08 
052080,METFORMIN HCL,750 MG,TAB ER 24H, $0.06 
052119,MYCOPHENOLATE SODIUM,180 MG,TABLET DR, $0.27 
052120,MYCOPHENOLATE SODIUM,360 MG,TABLET DR, $0.88 
052124,BORTEZOMIB,3.5 MG,VIAL, $21.06 
052143,ALPRAZOLAM,3 MG,TAB ER 24H, $0.54 
052162,PROPYLENE GLYCOL/PEG 400,0.3 %-0.4%,DROPS, $0.72 
052182,FA/NIACINAMIDE/CUPRIC OX/ZN OX,0.5-750 MG,TAB MPHASE, $0.08 
052187,BUPIVACAINE HCL/EPINEPHRINE/PF,0.25-.0005,VIAL, $0.45 
052188,BUPIVACAINE HCL/EPINEPHRINE/PF,0.5-1:200K,VIAL, $0.23 
052190,BUPIVACAINE HCL/PF,5 MG/ML,AMPUL, $0.63 
052193,BUPIVACAINE HCL/PF,2.5 MG/ML,VIAL, $0.09 
052194,BUPIVACAINE HCL/PF,5 MG/ML,VIAL, $0.09 
052195,BUPIVACAINE HCL/PF,7.5 MG/ML,VIAL, $0.15 
052199,BUPIVACAINE HCL IN DEXTROSE/PF,0.75 %,AMPUL, $1.86 
052251,MORPHINE SULFATE/PF,0.5 MG/ML,VIAL, $1.35 
052252,MORPHINE SULFATE/PF,1 MG/ML,VIAL, $1.37 
052266,POTASSIUM CHLORIDE-0.45% NACL,20 MEQ/L,IV SOLN, $0.01 
052711,IMATINIB MESYLATE,400 MG,TABLET, $4.58 
052712,IMATINIB MESYLATE,100 MG,TABLET, $1.31 
052713,POTASSIUM CHLORIDE,15 MEQ,TAB ER PRT, $0.09 
052742,MENTHOL,5 %,ADH. PATCH, $0.96 
052743,GLUCOSAMINE SULFATE,750 MG,TABLET, $0.33 
052747,ATAZANAVIR SULFATE,150 MG,CAPSULE, $3.72 
052748,ATAZANAVIR SULFATE,200 MG,CAPSULE, $5.27 
052802,EMTRICITABINE,200 MG,CAPSULE, $11.10 
052830,ESTRADIOL,0.06MG/24H,PATCH TDWK, $13.91 
052831,ESTRADIOL,.0375MG/24,PATCH TDWK, $13.85 
052833,OLMESARTAN/HYDROCHLOROTHIAZIDE,20-12.5 MG,TABLET, $0.30 
052834,OLMESARTAN/HYDROCHLOROTHIAZIDE,40-12.5 MG,TABLET, $0.48 
052835,OLMESARTAN/HYDROCHLOROTHIAZIDE,40 MG-25MG,TABLET, $0.36 
052836,METHSCOPOLAMINE BROMIDE,5 MG,TABLET, $2.47 
052880,CARBIDOPA/LEVODOPA/ENTACAPONE,37.5-150MG,TABLET, $1.19 
052881,CARBIDOPA/LEVODOPA/ENTACAPONE,25-100-200,TABLET, $1.16 
052885,CARBIDOPA/LEVODOPA/ENTACAPONE,12.5-50 MG,TABLET, $1.73 
052900,POTASSIUM IODIDE,65 MG,TABLET, $0.96 
052901,CLINDAMYCIN PHOSPHATE,1 %,GEL DAILY, $8.53 
052911,CIPROFLOXACIN HCL/DEXAMETH,0.3 %-0.1%,DROPS SUSP, $16.67 
052943,PALONOSETRON HCL,0.25MG/5ML,VIAL, $3.52 
052944,ROSUVASTATIN CALCIUM,5 MG,TABLET, $0.05 
052960,KETOROLAC TROMETHAMINE,0.4 %,DROPS, $11.95 
052964,VARDENAFIL HCL,2.5 MG,TABLET, $18.81 
053006,BUPROPION HCL,150 MG,TAB ER 24H, $0.11 
053007,BUPROPION HCL,300 MG,TAB ER 24H, $0.13 
053031,LEVETIRACETAM,100 MG/ML,SOLUTION, $0.05 
053055,ISOTRETINOIN,30 MG,CAPSULE, $7.59 
053056,METHYLPHENIDATE HCL,10 MG,CPBP 30-70, $2.15 
053057,METHYLPHENIDATE HCL,20 MG,CPBP 30-70, $2.15 
053058,METHYLPHENIDATE HCL,30 MG,CPBP 30-70, $1.90 
053059,METHYLPHENIDATE HCL,20 MG,CPBP 50-50, $3.15 
053060,METHYLPHENIDATE HCL,30 MG,CPBP 50-50, $2.98 
053061,METHYLPHENIDATE HCL,40 MG,CPBP 50-50, $2.14 
053076,LEVONORGESTREL/ETHIN.ESTRADIOL,0.15-0.03,TBDSPK 3MO, $0.31 
053093,"MULTIVIT,TX WITH IRON,MINERALS",27-0.33MG,TABLET, $0.08 
053150,CARGLUMIC ACID,200 MG,TAB DISPER, $177.25 
053176,FOSAMPRENAVIR CALCIUM,700 MG,TABLET, $15.75 
053181,ZINC ASCORBATE/MULTIVITAMIN,10 MG,CAPSULE, $0.08 
053190,DAPTOMYCIN,500 MG,VIAL, $18.88 
053272,VIT B12/LEVOMEFOLATE/VIT B6/B2,1-6-50-5MG,TABLET, $2.29 
053275,HYDROCORTISONE BUTYRATE/EMOLL,0.1 %,CREAM (G), $4.37 
053296,TADALAFIL,5 MG,TABLET, $0.24 
053300,"FERROUS FUM/FOLIC ACID/BCOMP,C",29MG-0.8MG,TABLET, $0.08 
053324,MEMANTINE HCL,5 MG,TABLET, $0.09 
053325,MEMANTINE HCL,5 MG-10 MG,TAB DS PK, $2.25 
053351,METFORMIN HCL,500 MG/5ML,SOLUTION, $1.30 
053367,ZONISAMIDE,25 MG,CAPSULE, $0.11 
053368,ZONISAMIDE,50 MG,CAPSULE, $0.14 
053400,OLANZAPINE/FLUOXETINE HCL,6MG-25MG,CAPSULE, $10.14 
053401,OLANZAPINE/FLUOXETINE HCL,6MG-50MG,CAPSULE, $11.27 
053402,OLANZAPINE/FLUOXETINE HCL,12MG-25MG,CAPSULE, $22.92 
053403,OLANZAPINE/FLUOXETINE HCL,12MG-50MG,CAPSULE, $22.92 
053407,BRIMONIDINE TARTRATE/TIMOLOL,0.2%-0.5%,DROPS, $23.61 
053409,FOLIC ACID,0.8 MG,CAPSULE, $0.06 
053473,EPINASTINE HCL,0.05 %,DROPS, $13.70 
053498,"FERROUS SULFATE, DRIED",160(50) MG,TABLET ER, $0.08 
053538,PROPAFENONE HCL,225 MG,CAP ER 12H, $0.49 
053540,PROPAFENONE HCL,325 MG,CAP ER 12H, $1.18 
053541,PROPAFENONE HCL,425 MG,CAP ER 12H, $2.00 
053572,"MULTIVIT,IRON,MIN/GREEN TEA XT",18-0.4-27,TABLET, $0.08 
053574,ALENDRONATE SODIUM,70 MG/75ML,SOLUTION, $0.77 
053582,HYDROCODONE/ACETAMINOPHEN,7.5-325/15,SOLUTION, $0.13 
053600,PEMETREXED DISODIUM,500 MG,VIAL, $49.43 
053632,PERIT. DIALYSIS NO.6-1.5 % DEX,2.5MEQ(CA),IP SOLN, $0.00 
053633,PERITON.DIALYSIS 7-2.5 % DEXTR,2.5MEQ(CA),IP SOLN, $0.00 
053634,PERITON.DIALYSIS 8-4.25 % DEXT,2.5MEQ(CA),IP SOLN, $0.00 
053650,MULTIVIT-MINERALS/FOLIC ACID,0.4 MG,TABLET, $0.08 
053658,PILOCARPINE HCL,7.5 MG,TABLET, $1.24 
053689,AMLODIPINE/ATORVASTATIN,5 MG-10 MG,TABLET, $3.26 
053690,AMLODIPINE/ATORVASTATIN,5 MG-20 MG,TABLET, $3.21 
053691,AMLODIPINE/ATORVASTATIN,5 MG-40 MG,TABLET, $4.37 
053692,AMLODIPINE/ATORVASTATIN,5 MG-80 MG,TABLET, $4.51 
053693,AMLODIPINE/ATORVASTATIN,10 MG-10MG,TABLET, $3.09 
